date,day,cases,deaths,recoveries,active
2020-03-10,0,8,0,0,0
2020-03-11,1,13,0,0,0
2020-03-12,2,16,0,0,0
2020-03-13,3,16,0,0,0
2020-03-14,4,22,0,0,0
2020-03-15,5,24,0,0,0
2020-03-16,6,31,0,0,0
2020-03-17,7,33,0,0,0
2020-03-18,8,45,0,0,0
2020-03-19,9,65,2,0,0
2020-03-20,10,109,2,0,0
2020-03-21,11,119,3,0,0
2020-03-22,12,186,3,0,0
2020-03-23,13,233,4,0,0
2020-03-24,14,305,6,0,0
2020-03-25,15,370,6,0,0
2020-03-26,16,421,9,0,0
2020-03-27,17,493,10,0,0
2020-03-28,18,558,13,0,0
2020-03-29,19,600,17,0,0
2020-03-30,20,657,18,0,0
2020-03-31,21,708,23,0,0
2020-04-01,22,832,28,0,0
2020-04-02,23,992,41,0,0
2020-04-03,24,1074,47,0,0
2020-04-04,25,1246,58,0,0
2020-04-05,26,1394,64,0,0
2020-04-06,27,1461,71,0,0
2020-04-07,28,1688,89,0,0
2020-04-08,29,1938,106,0,0
2020-04-09,30,2216,122,0,0
2020-04-10,31,2464,147,0,0
2020-04-11,32,2607,155,0,0
2020-04-12,33,2855,170,0,0
2020-04-13,34,3231,188,0,0
2020-04-14,35,3410,224,0,0
2020-04-15,36,3743,265,0,0
2020-04-16,37,3944,300,0,0
2020-04-17,38,4349,341,0,0
2020-04-18,39,4543,387,0,0
2020-04-19,40,4765,402,0,0
2020-04-20,41,4899,422,0,0
2020-04-21,42,5306,461,0,0
2020-04-22,43,5552,490,0,0
2020-04-23,44,6172,530,0,0
2020-04-24,45,6282,570,0,0
2020-04-25,46,6828,615,0,0
2020-04-26,47,7111,645,0,0
2020-04-27,48,7944,677,0,0
2020-04-28,49,8504,738,0,0
2020-04-29,50,8869,794,0,0
2020-04-30,51,9453,854,0,0
2020-05-01,52,10166,921,0,0
2020-05-02,53,10546,971,0,0
2020-05-03,54,11139,1019,0,0
2020-05-04,55,11721,1065,0,0
2020-05-05,56,12391,1123,0,0
2020-05-06,57,13295,1205,0,0
2020-05-07,58,14156,1394,0,0
2020-05-08,59,15741,1503,0,0
2020-05-09,60,16929,1653,0,0
2020-05-10,61,17062,1714,0,0
2020-05-11,62,17939,1770,0,0
2020-05-12,63,18486,1928,0,0
2020-05-13,64,18728,2050,0,0
2020-05-14,65,19467,2247,0,0
2020-05-15,66,19987,2438,0,0
2020-05-16,67,21601,2614,0,0
2020-05-17,68,22238,2715,0,0
2020-05-18,69,26665,2852,0,0
2020-05-19,70,27805,3079,0,0
2020-05-20,71,30372,3237,0,0
2020-05-21,72,32089,3412,0,0
2020-05-22,73,33589,3657,0,0
2020-05-23,74,34533,3905,0,0
2020-05-24,75,37912,3993,0,0
2020-05-25,76,39298,4105,0,0
2020-05-26,77,40024,4361,0,0
2020-05-27,78,42398,4605,0,0
2020-05-28,79,44886,4856,0,0
2020-05-29,80,47953,5079,0,0
2020-05-30,81,52420,5277,0,0
2020-05-31,82,53388,5344,0,0
2020-06-01,83,54530,5462,0,0
2020-06-02,84,56732,5686,0,0
2020-06-03,85,59240,6010,0,0
2020-06-04,86,60932,6327,0,0
2020-06-05,87,63066,6473,0,0
2020-06-06,88,64533,6639,0,0
2020-06-07,89,67756,6707,0,0
2020-06-08,90,69499,6781,0,0
2020-06-09,91,72979,6928,0,0
2020-06-10,92,74373,7138,0,0
2020-06-11,93,75775,7363,0,0
2020-06-12,94,77784,7417,0,0
2020-06-13,95,78836,7592,0,0
2020-06-14,96,79572,7672,0,0
2020-06-15,97,80946,7728,0,0
2020-06-16,98,83343,7967,0,0
2020-06-17,99,86963,8138,0,0
2020-06-18,100,87317,8412,0,0
2020-06-19,101,93378,8595,0,0
2020-06-20,102,95537,8824,0,0
2020-06-21,103,96133,8875,0,0
2020-06-22,104,97572,8933,0,0
2020-06-23,105,100869,9153,0,0
2020-06-24,106,103493,9295,0,0
2020-06-25,107,105897,9450,0,0
2020-06-26,108,108497,9587,0,0
2020-06-27,109,108803,9789,0,0
2020-06-28,110,111298,9819,0,0
2020-06-29,111,111883,9848,0,0
2020-06-30,112,112611,10080,0,0
2020-07-01,113,115278,10198,0,0
2020-07-02,114,116823,10332,0,0
2020-07-03,115,118956,10500,0,0
2020-07-04,116,120440,10624,0,0
2020-07-05,117,121292,10667,0,0
2020-07-06,118,121879,10698,0,0
2020-07-07,119,124086,10881,0,0
2020-07-08,120,126329,10970,0,0
2020-07-09,121,128324,11115,0,0
2020-07-10,122,129443,11280,0,0
2020-07-11,123,129675,11406,0,0
2020-07-12,124,129684,11415,0,0
2020-07-13,125,132044,11474,0,0
2020-07-14,126,132822,11624,0,0
2020-07-15,127,134449,11757,0,0
2020-07-16,128,134573,11849,0,0
2020-07-17,129,135230,11919,0,0
2020-07-18,130,135230,11919,0,0
2020-07-19,131,138524,12114,0,0
2020-07-20,132,141005,12161,0,0
2020-07-21,133,145121,12293,0,0
2020-07-22,134,148623,12443,0,0
2020-07-23,135,151549,12535,0,0
2020-07-24,136,154879,12654,0,0
2020-07-25,137,156293,12808,0,0
2020-07-26,138,156325,12835,0,0
2020-07-27,139,157834,12876,0,0
2020-07-28,140,159639,13033,0,0
2020-07-29,141,161647,13198,0,0
2020-07-30,142,163642,13348,0,0
2020-07-31,143,165495,13477,0,0
2020-08-01,144,167213,13556,0,0
